draft_slot,pick_no,picked_by,reactions,roster_id,round,player_name,team_pos,username,team_name
11,158,1142296883147206656,,2,14,Egor Demin,"BKN, PG",njerickson,Chetinyahu’s Iron Dong
10,159,1148324770803617792,,6,14,Neemias Queta,"BOS, C",theadambomb98,KATastrophe Krew
9,160,1136806217688584192,,5,14,Russell Westbrook,", PG",jstrobe,Go Kart Melo
8,161,1149090002895323136,,8,14,Dylan Harper,"SAS, SG",ImReallyHarry,Hasheem Team To Beat
7,162,1150898281216778240,,12,14,VJ Edgecombe,"PHI, SG",GraftonCarlson,Edge til i Combe
6,163,1149394820675428352,,10,14,Cason Wallace,"OKC, SG",nuggetchef,furries for murray
5,164,1142496328673558528,,4,14,Buddy Hield,"GSW, SG",BamAddABio,R.I.C.O Harrison
4,165,1122386008709910528,,1,14,Dillon Brooks,"PHX, SF",popsharky,Chetsteins island 
3,166,1130198569467789312,,7,14,Caris LeVert,"DET, SG",jpelwell,Kawhi am i winning?
2,167,1150875537964101632,,11,14,Rui Hachimura,"LAL, SF",xonicboom,Fat Slovenian Revenge 
1,168,1141611942496280576,,3,14,Kon Knueppel,"CHA, SF",ChedddaBob,FentMachines2:HorseAutism
